1405 lattice points in polytope (module generators)
0 Hilbert basis elements of recession monoid
6 vertices of polyhedron
0 extreme rays of recession cone
 19  1 19  5 31 1
 19  1 19  6 30 1
 19  1 19  7 29 1
 19  1 19  8 28 1
 19  1 19  9 27 1
 19  1 19 10 26 1
 19  1 19 11 25 1
 19  1 19 12 24 1
 19  1 19 13 23 1
 19  1 19 14 22 1
 19  1 19 15 21 1
 19  1 19 16 20 1
 19  1 19 17 19 1
 19  1 20  0 35 1
 19  1 20  1 34 1
 19  1 20  2 33 1
 19  1 20  3 32 1
 19  1 20  4 31 1
 19  1 20  5 30 1
 19  1 20  6 29 1
 19  1 20  7 28 1
 19  1 20  8 27 1
 19  1 20  9 26 1
 19  1 20 10 25 1
 19  1 20 11 24 1
 19  1 20 12 23 1
 19  1 20 13 22 1
 19  1 20 14 21 1
 19  1 20 15 20 1
 19  1 21  0 34 1
 19  1 21  1 33 1
 19  1 21  2 32 1
 19  1 21  3 31 1
 19  1 21  4 30 1
 19  1 21  5 29 1
 19  1 21  6 28 1
 19  1 21  7 27 1
 19  1 21  8 26 1
 19  1 21  9 25 1
 19  1 21 10 24 1
 19  1 21 11 23 1
 19  1 21 12 22 1
 19  1 21 13 21 1
 19  1 22  0 33 1
 19  1 22  1 32 1
 19  1 22  2 31 1
 19  1 22  3 30 1
 19  1 22  4 29 1
 19  1 22  5 28 1
 19  1 22  6 27 1
 19  1 22  7 26 1
 19  1 22  8 25 1
 19  1 22  9 24 1
 19  1 22 10 23 1
 19  1 22 11 22 1
 19  1 23  0 32 1
 19  1 23  1 31 1
 19  1 23  2 30 1
 19  1 23  3 29 1
 19  1 23  4 28 1
 19  1 23  5 27 1
 19  1 23  6 26 1
 19  1 23  7 25 1
 19  1 23  8 24 1
 19  1 23  9 23 1
 19  1 24  0 31 1
 19  1 24  1 30 1
 19  1 24  2 29 1
 19  1 24  3 28 1
 19  1 24  4 27 1
 19  1 24  5 26 1
 19  1 24  6 25 1
 19  1 24  7 24 1
 19  1 25  0 30 1
 19  1 25  1 29 1
 19  1 25  2 28 1
 19  1 25  3 27 1
 19  1 25  4 26 1
 19  1 25  5 25 1
 19  1 26  0 29 1
 19  1 26  1 28 1
 19  1 26  2 27 1
 19  1 26  3 26 1
 19  1 27  0 28 1
 19  1 27  1 27 1
 19  2 17  2 35 1
 19  2 17  3 34 1
 19  2 17  4 33 1
 19  2 17  5 32 1
 19  2 17  6 31 1
 19  2 17  7 30 1
 19  2 17  8 29 1
 19  2 17  9 28 1
 19  2 17 10 27 1
 19  2 17 11 26 1
 19  2 17 12 25 1
 19  2 17 13 24 1
 19  2 17 14 23 1
 19  2 17 15 22 1
 19  2 17 16 21 1
 19  2 17 17 20 1
 19  2 17 18 19 1
 19  2 18  1 35 1
 19  2 18  2 34 1
 19  2 18  3 33 1
 19  2 18  4 32 1
 19  2 18  5 31 1
 19  2 18  6 30 1
 19  2 18  7 29 1
 19  2 18  8 28 1
 19  2 18  9 27 1
 19  2 18 10 26 1
 19  2 18 11 25 1
 19  2 18 12 24 1
 19  2 18 13 23 1
 19  2 18 14 22 1
 19  2 18 15 21 1
 19  2 18 16 20 1
 19  2 18 17 19 1
 19  2 19  0 35 1
 19  2 19  1 34 1
 19  2 19  2 33 1
 19  2 19  3 32 1
 19  2 19  4 31 1
 19  2 19  5 30 1
 19  2 19  6 29 1
 19  2 19  7 28 1
 19  2 19  8 27 1
 19  2 19  9 26 1
 19  2 19 10 25 1
 19  2 19 11 24 1
 19  2 19 12 23 1
 19  2 19 13 22 1
 19  2 19 14 21 1
 19  2 19 15 20 1
 19  2 19 16 19 1
 19  2 20  0 34 1
 19  2 20  1 33 1
 19  2 20  2 32 1
 19  2 20  3 31 1
 19  2 20  4 30 1
 19  2 20  5 29 1
 19  2 20  6 28 1
 19  2 20  7 27 1
 19  2 20  8 26 1
 19  2 20  9 25 1
 19  2 20 10 24 1
 19  2 20 11 23 1
 19  2 20 12 22 1
 19  2 20 13 21 1
 19  2 20 14 20 1
 19  2 21  0 33 1
 19  2 21  1 32 1
 19  2 21  2 31 1
 19  2 21  3 30 1
 19  2 21  4 29 1
 19  2 21  5 28 1
 19  2 21  6 27 1
 19  2 21  7 26 1
 19  2 21  8 25 1
 19  2 21  9 24 1
 19  2 21 10 23 1
 19  2 21 11 22 1
 19  2 21 12 21 1
 19  2 22  0 32 1
 19  2 22  1 31 1
 19  2 22  2 30 1
 19  2 22  3 29 1
 19  2 22  4 28 1
 19  2 22  5 27 1
 19  2 22  6 26 1
 19  2 22  7 25 1
 19  2 22  8 24 1
 19  2 22  9 23 1
 19  2 22 10 22 1
 19  2 23  0 31 1
 19  2 23  1 30 1
 19  2 23  2 29 1
 19  2 23  3 28 1
 19  2 23  4 27 1
 19  2 23  5 26 1
 19  2 23  6 25 1
 19  2 23  7 24 1
 19  2 23  8 23 1
 19  2 24  0 30 1
 19  2 24  1 29 1
 19  2 24  2 28 1
 19  2 24  3 27 1
 19  2 24  4 26 1
 19  2 24  5 25 1
 19  2 24  6 24 1
 19  2 25  0 29 1
 19  2 25  1 28 1
 19  2 25  2 27 1
 19  2 25  3 26 1
 19  2 25  4 25 1
 19  2 26  0 28 1
 19  2 26  1 27 1
 19  2 26  2 26 1
 19  3 16  3 34 1
 19  3 16  4 33 1
 19  3 16  5 32 1
 19  3 16  6 31 1
 19  3 16  7 30 1
 19  3 16  8 29 1
 19  3 16  9 28 1
 19  3 16 10 27 1
 19  3 16 11 26 1
 19  3 16 12 25 1
 19  3 16 13 24 1
 19  3 16 14 23 1
 19  3 16 15 22 1
 19  3 16 16 21 1
 19  3 16 17 20 1
 19  3 16 18 19 1
 19  3 17  2 34 1
 19  3 17  3 33 1
 19  3 17  4 32 1
 19  3 17  5 31 1
 19  3 17  6 30 1
 19  3 17  7 29 1
 19  3 17  8 28 1
 19  3 17  9 27 1
 19  3 17 10 26 1
 19  3 17 11 25 1
 19  3 17 12 24 1
 19  3 17 13 23 1
 19  3 17 14 22 1
 19  3 17 15 21 1
 19  3 17 16 20 1
 19  3 17 17 19 1
 19  3 18  1 34 1
 19  3 18  2 33 1
 19  3 18  3 32 1
 19  3 18  4 31 1
 19  3 18  5 30 1
 19  3 18  6 29 1
 19  3 18  7 28 1
 19  3 18  8 27 1
 19  3 18  9 26 1
 19  3 18 10 25 1
 19  3 18 11 24 1
 19  3 18 12 23 1
 19  3 18 13 22 1
 19  3 18 14 21 1
 19  3 18 15 20 1
 19  3 18 16 19 1
 19  3 19  0 34 1
 19  3 19  1 33 1
 19  3 19  2 32 1
 19  3 19  3 31 1
 19  3 19  4 30 1
 19  3 19  5 29 1
 19  3 19  6 28 1
 19  3 19  7 27 1
 19  3 19  8 26 1
 19  3 19  9 25 1
 19  3 19 10 24 1
 19  3 19 11 23 1
 19  3 19 12 22 1
 19  3 19 13 21 1
 19  3 19 14 20 1
 19  3 19 15 19 1
 19  3 20  0 33 1
 19  3 20  1 32 1
 19  3 20  2 31 1
 19  3 20  3 30 1
 19  3 20  4 29 1
 19  3 20  5 28 1
 19  3 20  6 27 1
 19  3 20  7 26 1
 19  3 20  8 25 1
 19  3 20  9 24 1
 19  3 20 10 23 1
 19  3 20 11 22 1
 19  3 20 12 21 1
 19  3 20 13 20 1
 19  3 21  0 32 1
 19  3 21  1 31 1
 19  3 21  2 30 1
 19  3 21  3 29 1
 19  3 21  4 28 1
 19  3 21  5 27 1
 19  3 21  6 26 1
 19  3 21  7 25 1
 19  3 21  8 24 1
 19  3 21  9 23 1
 19  3 21 10 22 1
 19  3 21 11 21 1
 19  3 22  0 31 1
 19  3 22  1 30 1
 19  3 22  2 29 1
 19  3 22  3 28 1
 19  3 22  4 27 1
 19  3 22  5 26 1
 19  3 22  6 25 1
 19  3 22  7 24 1
 19  3 22  8 23 1
 19  3 22  9 22 1
 19  3 23  0 30 1
 19  3 23  1 29 1
 19  3 23  2 28 1
 19  3 23  3 27 1
 19  3 23  4 26 1
 19  3 23  5 25 1
 19  3 23  6 24 1
 19  3 23  7 23 1
 19  3 24  0 29 1
 19  3 24  1 28 1
 19  3 24  2 27 1
 19  3 24  3 26 1
 19  3 24  4 25 1
 19  3 24  5 24 1
 19  3 25  0 28 1
 19  3 25  1 27 1
 19  3 25  2 26 1
 19  3 25  3 25 1
 19  4 15  4 33 1
 19  4 15  5 32 1
 19  4 15  6 31 1
 19  4 15  7 30 1
 19  4 15  8 29 1
 19  4 15  9 28 1
 19  4 15 10 27 1
 19  4 15 11 26 1
 19  4 15 12 25 1
 19  4 15 13 24 1
 19  4 15 14 23 1
 19  4 15 15 22 1
 19  4 15 16 21 1
 19  4 15 17 20 1
 19  4 15 18 19 1
 19  4 16  3 33 1
 19  4 16  4 32 1
 19  4 16  5 31 1
 19  4 16  6 30 1
 19  4 16  7 29 1
 19  4 16  8 28 1
 19  4 16  9 27 1
 19  4 16 10 26 1
 19  4 16 11 25 1
 19  4 16 12 24 1
 19  4 16 13 23 1
 19  4 16 14 22 1
 19  4 16 15 21 1
 19  4 16 16 20 1
 19  4 16 17 19 1
 19  4 17  2 33 1
 19  4 17  3 32 1
 19  4 17  4 31 1
 19  4 17  5 30 1
 19  4 17  6 29 1
 19  4 17  7 28 1
 19  4 17  8 27 1
 19  4 17  9 26 1
 19  4 17 10 25 1
 19  4 17 11 24 1
 19  4 17 12 23 1
 19  4 17 13 22 1
 19  4 17 14 21 1
 19  4 17 15 20 1
 19  4 17 16 19 1
 19  4 18  1 33 1
 19  4 18  2 32 1
 19  4 18  3 31 1
 19  4 18  4 30 1
 19  4 18  5 29 1
 19  4 18  6 28 1
 19  4 18  7 27 1
 19  4 18  8 26 1
 19  4 18  9 25 1
 19  4 18 10 24 1
 19  4 18 11 23 1
 19  4 18 12 22 1
 19  4 18 13 21 1
 19  4 18 14 20 1
 19  4 18 15 19 1
 19  4 19  0 33 1
 19  4 19  1 32 1
 19  4 19  2 31 1
 19  4 19  3 30 1
 19  4 19  4 29 1
 19  4 19  5 28 1
 19  4 19  6 27 1
 19  4 19  7 26 1
 19  4 19  8 25 1
 19  4 19  9 24 1
 19  4 19 10 23 1
 19  4 19 11 22 1
 19  4 19 12 21 1
 19  4 19 13 20 1
 19  4 19 14 19 1
 19  4 20  0 32 1
 19  4 20  1 31 1
 19  4 20  2 30 1
 19  4 20  3 29 1
 19  4 20  4 28 1
 19  4 20  5 27 1
 19  4 20  6 26 1
 19  4 20  7 25 1
 19  4 20  8 24 1
 19  4 20  9 23 1
 19  4 20 10 22 1
 19  4 20 11 21 1
 19  4 20 12 20 1
 19  4 21  0 31 1
 19  4 21  1 30 1
 19  4 21  2 29 1
 19  4 21  3 28 1
 19  4 21  4 27 1
 19  4 21  5 26 1
 19  4 21  6 25 1
 19  4 21  7 24 1
 19  4 21  8 23 1
 19  4 21  9 22 1
 19  4 21 10 21 1
 19  4 22  0 30 1
 19  4 22  1 29 1
 19  4 22  2 28 1
 19  4 22  3 27 1
 19  4 22  4 26 1
 19  4 22  5 25 1
 19  4 22  6 24 1
 19  4 22  7 23 1
 19  4 22  8 22 1
 19  4 23  0 29 1
 19  4 23  1 28 1
 19  4 23  2 27 1
 19  4 23  3 26 1
 19  4 23  4 25 1
 19  4 23  5 24 1
 19  4 23  6 23 1
 19  4 24  0 28 1
 19  4 24  1 27 1
 19  4 24  2 26 1
 19  4 24  3 25 1
 19  4 24  4 24 1
 19  5 14  5 32 1
 19  5 14  6 31 1
 19  5 14  7 30 1
 19  5 14  8 29 1
 19  5 14  9 28 1
 19  5 14 10 27 1
 19  5 14 11 26 1
 19  5 14 12 25 1
 19  5 14 13 24 1
 19  5 14 14 23 1
 19  5 14 15 22 1
 19  5 14 16 21 1
 19  5 14 17 20 1
 19  5 14 18 19 1
 19  5 15  4 32 1
 19  5 15  5 31 1
 19  5 15  6 30 1
 19  5 15  7 29 1
 19  5 15  8 28 1
 19  5 15  9 27 1
 19  5 15 10 26 1
 19  5 15 11 25 1
 19  5 15 12 24 1
 19  5 15 13 23 1
 19  5 15 14 22 1
 19  5 15 15 21 1
 19  5 15 16 20 1
 19  5 15 17 19 1
 19  5 16  3 32 1
 19  5 16  4 31 1
 19  5 16  5 30 1
 19  5 16  6 29 1
 19  5 16  7 28 1
 19  5 16  8 27 1
 19  5 16  9 26 1
 19  5 16 10 25 1
 19  5 16 11 24 1
 19  5 16 12 23 1
 19  5 16 13 22 1
 19  5 16 14 21 1
 19  5 16 15 20 1
 19  5 16 16 19 1
 19  5 17  2 32 1
 19  5 17  3 31 1
 19  5 17  4 30 1
 19  5 17  5 29 1
 19  5 17  6 28 1
 19  5 17  7 27 1
 19  5 17  8 26 1
 19  5 17  9 25 1
 19  5 17 10 24 1
 19  5 17 11 23 1
 19  5 17 12 22 1
 19  5 17 13 21 1
 19  5 17 14 20 1
 19  5 17 15 19 1
 19  5 18  1 32 1
 19  5 18  2 31 1
 19  5 18  3 30 1
 19  5 18  4 29 1
 19  5 18  5 28 1
 19  5 18  6 27 1
 19  5 18  7 26 1
 19  5 18  8 25 1
 19  5 18  9 24 1
 19  5 18 10 23 1
 19  5 18 11 22 1
 19  5 18 12 21 1
 19  5 18 13 20 1
 19  5 18 14 19 1
 19  5 19  0 32 1
 19  5 19  1 31 1
 19  5 19  2 30 1
 19  5 19  3 29 1
 19  5 19  4 28 1
 19  5 19  5 27 1
 19  5 19  6 26 1
 19  5 19  7 25 1
 19  5 19  8 24 1
 19  5 19  9 23 1
 19  5 19 10 22 1
 19  5 19 11 21 1
 19  5 19 12 20 1
 19  5 19 13 19 1
 19  5 20  0 31 1
 19  5 20  1 30 1
 19  5 20  2 29 1
 19  5 20  3 28 1
 19  5 20  4 27 1
 19  5 20  5 26 1
 19  5 20  6 25 1
 19  5 20  7 24 1
 19  5 20  8 23 1
 19  5 20  9 22 1
 19  5 20 10 21 1
 19  5 20 11 20 1
 19  5 21  0 30 1
 19  5 21  1 29 1
 19  5 21  2 28 1
 19  5 21  3 27 1
 19  5 21  4 26 1
 19  5 21  5 25 1
 19  5 21  6 24 1
 19  5 21  7 23 1
 19  5 21  8 22 1
 19  5 21  9 21 1
 19  5 22  0 29 1
 19  5 22  1 28 1
 19  5 22  2 27 1
 19  5 22  3 26 1
 19  5 22  4 25 1
 19  5 22  5 24 1
 19  5 22  6 23 1
 19  5 22  7 22 1
 19  5 23  0 28 1
 19  5 23  1 27 1
 19  5 23  2 26 1
 19  5 23  3 25 1
 19  5 23  4 24 1
 19  5 23  5 23 1
 19  6 13  6 31 1
 19  6 13  7 30 1
 19  6 13  8 29 1
 19  6 13  9 28 1
 19  6 13 10 27 1
 19  6 13 11 26 1
 19  6 13 12 25 1
 19  6 13 13 24 1
 19  6 13 14 23 1
 19  6 13 15 22 1
 19  6 13 16 21 1
 19  6 13 17 20 1
 19  6 13 18 19 1
 19  6 14  5 31 1
 19  6 14  6 30 1
 19  6 14  7 29 1
 19  6 14  8 28 1
 19  6 14  9 27 1
 19  6 14 10 26 1
 19  6 14 11 25 1
 19  6 14 12 24 1
 19  6 14 13 23 1
 19  6 14 14 22 1
 19  6 14 15 21 1
 19  6 14 16 20 1
 19  6 14 17 19 1
 19  6 15  4 31 1
 19  6 15  5 30 1
 19  6 15  6 29 1
 19  6 15  7 28 1
 19  6 15  8 27 1
 19  6 15  9 26 1
 19  6 15 10 25 1
 19  6 15 11 24 1
 19  6 15 12 23 1
 19  6 15 13 22 1
 19  6 15 14 21 1
 19  6 15 15 20 1
 19  6 15 16 19 1
 19  6 16  3 31 1
 19  6 16  4 30 1
 19  6 16  5 29 1
 19  6 16  6 28 1
 19  6 16  7 27 1
 19  6 16  8 26 1
 19  6 16  9 25 1
 19  6 16 10 24 1
 19  6 16 11 23 1
 19  6 16 12 22 1
 19  6 16 13 21 1
 19  6 16 14 20 1
 19  6 16 15 19 1
 19  6 17  2 31 1
 19  6 17  3 30 1
 19  6 17  4 29 1
 19  6 17  5 28 1
 19  6 17  6 27 1
 19  6 17  7 26 1
 19  6 17  8 25 1
 19  6 17  9 24 1
 19  6 17 10 23 1
 19  6 17 11 22 1
 19  6 17 12 21 1
 19  6 17 13 20 1
 19  6 17 14 19 1
 19  6 18  1 31 1
 19  6 18  2 30 1
 19  6 18  3 29 1
 19  6 18  4 28 1
 19  6 18  5 27 1
 19  6 18  6 26 1
 19  6 18  7 25 1
 19  6 18  8 24 1
 19  6 18  9 23 1
 19  6 18 10 22 1
 19  6 18 11 21 1
 19  6 18 12 20 1
 19  6 18 13 19 1
 19  6 19  0 31 1
 19  6 19  1 30 1
 19  6 19  2 29 1
 19  6 19  3 28 1
 19  6 19  4 27 1
 19  6 19  5 26 1
 19  6 19  6 25 1
 19  6 19  7 24 1
 19  6 19  8 23 1
 19  6 19  9 22 1
 19  6 19 10 21 1
 19  6 19 11 20 1
 19  6 19 12 19 1
 19  6 20  0 30 1
 19  6 20  1 29 1
 19  6 20  2 28 1
 19  6 20  3 27 1
 19  6 20  4 26 1
 19  6 20  5 25 1
 19  6 20  6 24 1
 19  6 20  7 23 1
 19  6 20  8 22 1
 19  6 20  9 21 1
 19  6 20 10 20 1
 19  6 21  0 29 1
 19  6 21  1 28 1
 19  6 21  2 27 1
 19  6 21  3 26 1
 19  6 21  4 25 1
 19  6 21  5 24 1
 19  6 21  6 23 1
 19  6 21  7 22 1
 19  6 21  8 21 1
 19  6 22  0 28 1
 19  6 22  1 27 1
 19  6 22  2 26 1
 19  6 22  3 25 1
 19  6 22  4 24 1
 19  6 22  5 23 1
 19  6 22  6 22 1
 19  7 12  7 30 1
 19  7 12  8 29 1
 19  7 12  9 28 1
 19  7 12 10 27 1
 19  7 12 11 26 1
 19  7 12 12 25 1
 19  7 12 13 24 1
 19  7 12 14 23 1
 19  7 12 15 22 1
 19  7 12 16 21 1
 19  7 12 17 20 1
 19  7 12 18 19 1
 19  7 13  6 30 1
 19  7 13  7 29 1
 19  7 13  8 28 1
 19  7 13  9 27 1
 19  7 13 10 26 1
 19  7 13 11 25 1
 19  7 13 12 24 1
 19  7 13 13 23 1
 19  7 13 14 22 1
 19  7 13 15 21 1
 19  7 13 16 20 1
 19  7 13 17 19 1
 19  7 14  5 30 1
 19  7 14  6 29 1
 19  7 14  7 28 1
 19  7 14  8 27 1
 19  7 14  9 26 1
 19  7 14 10 25 1
 19  7 14 11 24 1
 19  7 14 12 23 1
 19  7 14 13 22 1
 19  7 14 14 21 1
 19  7 14 15 20 1
 19  7 14 16 19 1
 19  7 15  4 30 1
 19  7 15  5 29 1
 19  7 15  6 28 1
 19  7 15  7 27 1
 19  7 15  8 26 1
 19  7 15  9 25 1
 19  7 15 10 24 1
 19  7 15 11 23 1
 19  7 15 12 22 1
 19  7 15 13 21 1
 19  7 15 14 20 1
 19  7 15 15 19 1
 19  7 16  3 30 1
 19  7 16  4 29 1
 19  7 16  5 28 1
 19  7 16  6 27 1
 19  7 16  7 26 1
 19  7 16  8 25 1
 19  7 16  9 24 1
 19  7 16 10 23 1
 19  7 16 11 22 1
 19  7 16 12 21 1
 19  7 16 13 20 1
 19  7 16 14 19 1
 19  7 17  2 30 1
 19  7 17  3 29 1
 19  7 17  4 28 1
 19  7 17  5 27 1
 19  7 17  6 26 1
 19  7 17  7 25 1
 19  7 17  8 24 1
 19  7 17  9 23 1
 19  7 17 10 22 1
 19  7 17 11 21 1
 19  7 17 12 20 1
 19  7 17 13 19 1
 19  7 18  1 30 1
 19  7 18  2 29 1
 19  7 18  3 28 1
 19  7 18  4 27 1
 19  7 18  5 26 1
 19  7 18  6 25 1
 19  7 18  7 24 1
 19  7 18  8 23 1
 19  7 18  9 22 1
 19  7 18 10 21 1
 19  7 18 11 20 1
 19  7 18 12 19 1
 19  7 19  0 30 1
 19  7 19  1 29 1
 19  7 19  2 28 1
 19  7 19  3 27 1
 19  7 19  4 26 1
 19  7 19  5 25 1
 19  7 19  6 24 1
 19  7 19  7 23 1
 19  7 19  8 22 1
 19  7 19  9 21 1
 19  7 19 10 20 1
 19  7 19 11 19 1
 19  7 20  0 29 1
 19  7 20  1 28 1
 19  7 20  2 27 1
 19  7 20  3 26 1
 19  7 20  4 25 1
 19  7 20  5 24 1
 19  7 20  6 23 1
 19  7 20  7 22 1
 19  7 20  8 21 1
 19  7 20  9 20 1
 19  7 21  0 28 1
 19  7 21  1 27 1
 19  7 21  2 26 1
 19  7 21  3 25 1
 19  7 21  4 24 1
 19  7 21  5 23 1
 19  7 21  6 22 1
 19  7 21  7 21 1
 19  8 11  8 29 1
 19  8 11  9 28 1
 19  8 11 10 27 1
 19  8 11 11 26 1
 19  8 11 12 25 1
 19  8 11 13 24 1
 19  8 11 14 23 1
 19  8 11 15 22 1
 19  8 11 16 21 1
 19  8 11 17 20 1
 19  8 11 18 19 1
 19  8 12  7 29 1
 19  8 12  8 28 1
 19  8 12  9 27 1
 19  8 12 10 26 1
 19  8 12 11 25 1
 19  8 12 12 24 1
 19  8 12 13 23 1
 19  8 12 14 22 1
 19  8 12 15 21 1
 19  8 12 16 20 1
 19  8 12 17 19 1
 19  8 13  6 29 1
 19  8 13  7 28 1
 19  8 13  8 27 1
 19  8 13  9 26 1
 19  8 13 10 25 1
 19  8 13 11 24 1
 19  8 13 12 23 1
 19  8 13 13 22 1
 19  8 13 14 21 1
 19  8 13 15 20 1
 19  8 13 16 19 1
 19  8 14  5 29 1
 19  8 14  6 28 1
 19  8 14  7 27 1
 19  8 14  8 26 1
 19  8 14  9 25 1
 19  8 14 10 24 1
 19  8 14 11 23 1
 19  8 14 12 22 1
 19  8 14 13 21 1
 19  8 14 14 20 1
 19  8 14 15 19 1
 19  8 15  4 29 1
 19  8 15  5 28 1
 19  8 15  6 27 1
 19  8 15  7 26 1
 19  8 15  8 25 1
 19  8 15  9 24 1
 19  8 15 10 23 1
 19  8 15 11 22 1
 19  8 15 12 21 1
 19  8 15 13 20 1
 19  8 15 14 19 1
 19  8 16  3 29 1
 19  8 16  4 28 1
 19  8 16  5 27 1
 19  8 16  6 26 1
 19  8 16  7 25 1
 19  8 16  8 24 1
 19  8 16  9 23 1
 19  8 16 10 22 1
 19  8 16 11 21 1
 19  8 16 12 20 1
 19  8 16 13 19 1
 19  8 17  2 29 1
 19  8 17  3 28 1
 19  8 17  4 27 1
 19  8 17  5 26 1
 19  8 17  6 25 1
 19  8 17  7 24 1
 19  8 17  8 23 1
 19  8 17  9 22 1
 19  8 17 10 21 1
 19  8 17 11 20 1
 19  8 17 12 19 1
 19  8 18  1 29 1
 19  8 18  2 28 1
 19  8 18  3 27 1
 19  8 18  4 26 1
 19  8 18  5 25 1
 19  8 18  6 24 1
 19  8 18  7 23 1
 19  8 18  8 22 1
 19  8 18  9 21 1
 19  8 18 10 20 1
 19  8 18 11 19 1
 19  8 19  0 29 1
 19  8 19  1 28 1
 19  8 19  2 27 1
 19  8 19  3 26 1
 19  8 19  4 25 1
 19  8 19  5 24 1
 19  8 19  6 23 1
 19  8 19  7 22 1
 19  8 19  8 21 1
 19  8 19  9 20 1
 19  8 19 10 19 1
 19  8 20  0 28 1
 19  8 20  1 27 1
 19  8 20  2 26 1
 19  8 20  3 25 1
 19  8 20  4 24 1
 19  8 20  5 23 1
 19  8 20  6 22 1
 19  8 20  7 21 1
 19  8 20  8 20 1
 19  9 10  9 28 1
 19  9 10 10 27 1
 19  9 10 11 26 1
 19  9 10 12 25 1
 19  9 10 13 24 1
 19  9 10 14 23 1
 19  9 10 15 22 1
 19  9 10 16 21 1
 19  9 10 17 20 1
 19  9 10 18 19 1
 19  9 11  8 28 1
 19  9 11  9 27 1
 19  9 11 10 26 1
 19  9 11 11 25 1
 19  9 11 12 24 1
 19  9 11 13 23 1
 19  9 11 14 22 1
 19  9 11 15 21 1
 19  9 11 16 20 1
 19  9 11 17 19 1
 19  9 12  7 28 1
 19  9 12  8 27 1
 19  9 12  9 26 1
 19  9 12 10 25 1
 19  9 12 11 24 1
 19  9 12 12 23 1
 19  9 12 13 22 1
 19  9 12 14 21 1
 19  9 12 15 20 1
 19  9 12 16 19 1
 19  9 13  6 28 1
 19  9 13  7 27 1
 19  9 13  8 26 1
 19  9 13  9 25 1
 19  9 13 10 24 1
 19  9 13 11 23 1
 19  9 13 12 22 1
